threshold,recall,precision
0.1,0.4731182795698925,0.14193548387096774
0.11,0.4731182795698925,0.14521452145214522
0.12,0.4731182795698925,0.14521452145214522
0.13,0.4731182795698925,0.14521452145214522
0.13999999999999999,0.4731182795698925,0.14915254237288136
0.14999999999999997,0.4731182795698925,0.14915254237288136
0.15999999999999998,0.46236559139784944,0.15140845070422534
0.16999999999999998,0.46236559139784944,0.15140845070422534
0.17999999999999997,0.46236559139784944,0.15140845070422534
0.18999999999999995,0.43010752688172044,0.14336917562724014
0.19999999999999996,0.43010752688172044,0.14336917562724014
0.20999999999999996,0.43010752688172044,0.14336917562724014
0.21999999999999995,0.41935483870967744,0.14391143911439114
0.22999999999999995,0.41935483870967744,0.14391143911439114
0.23999999999999994,0.41935483870967744,0.14661654135338345
0.24999999999999992,0.41935483870967744,0.14661654135338345
0.2599999999999999,0.41935483870967744,0.14661654135338345
0.2699999999999999,0.3978494623655914,0.1423076923076923
0.2799999999999999,0.3978494623655914,0.1423076923076923
0.2899999999999999,0.3763440860215054,0.1388888888888889
0.29999999999999993,0.3763440860215054,0.1388888888888889
0.30999999999999994,0.3763440860215054,0.1388888888888889
0.3199999999999999,0.34408602150537637,0.13168724279835392
0.32999999999999985,0.34408602150537637,0.13168724279835392
0.33999999999999986,0.34408602150537637,0.1350210970464135
0.34999999999999987,0.34408602150537637,0.1350210970464135
0.3599999999999999,0.34408602150537637,0.1350210970464135
0.3699999999999999,0.3333333333333333,0.13537117903930132
0.3799999999999999,0.3333333333333333,0.13537117903930132
0.3899999999999999,0.3225806451612903,0.13333333333333333
0.3999999999999998,0.3225806451612903,0.13333333333333333
0.4099999999999998,0.3225806451612903,0.13333333333333333
0.4199999999999998,0.2903225806451613,0.12558139534883722
0.4299999999999998,0.2903225806451613,0.12558139534883722
0.43999999999999984,0.27956989247311825,0.12380952380952381
0.44999999999999984,0.27956989247311825,0.12380952380952381
0.45999999999999985,0.27956989247311825,0.12380952380952381
0.46999999999999986,0.27956989247311825,0.12560386473429952
0.47999999999999976,0.27956989247311825,0.12560386473429952
0.48999999999999977,0.27956989247311825,0.12935323383084577
0.4999999999999998,0.27956989247311825,0.12935323383084577
0.5099999999999998,0.27956989247311825,0.12935323383084577
0.5199999999999998,0.26881720430107525,0.13020833333333334
0.5299999999999998,0.26881720430107525,0.13020833333333334
0.5399999999999998,0.26881720430107525,0.13440860215053763
0.5499999999999998,0.26881720430107525,0.13440860215053763
0.5599999999999997,0.26881720430107525,0.13440860215053763
0.5699999999999997,0.26881720430107525,0.1388888888888889
0.5799999999999997,0.26881720430107525,0.1388888888888889
0.5899999999999997,0.25806451612903225,0.13636363636363635
0.5999999999999998,0.25806451612903225,0.13636363636363635
0.6099999999999998,0.25806451612903225,0.13636363636363635
0.6199999999999998,0.24731182795698925,0.13609467455621302
0.6299999999999997,0.24731182795698925,0.13609467455621302
0.6399999999999997,0.22580645161290322,0.13043478260869565
0.6499999999999997,0.22580645161290322,0.13043478260869565
0.6599999999999997,0.22580645161290322,0.13043478260869565
0.6699999999999997,0.21505376344086022,0.12987012987012986
0.6799999999999997,0.21505376344086022,0.12987012987012986
0.6899999999999997,0.21505376344086022,0.12987012987012986
0.6999999999999996,0.20430107526881722,0.12666666666666668
0.7099999999999996,0.20430107526881722,0.12666666666666668
0.7199999999999996,0.1935483870967742,0.1258741258741259
0.7299999999999996,0.1935483870967742,0.1258741258741259
0.7399999999999997,0.1935483870967742,0.1258741258741259
0.7499999999999997,0.1827956989247312,0.12142857142857143
0.7599999999999997,0.1827956989247312,0.12142857142857143
0.7699999999999997,0.1827956989247312,0.1259259259259259
0.7799999999999997,0.1827956989247312,0.1259259259259259
0.7899999999999996,0.1827956989247312,0.1259259259259259
0.7999999999999996,0.17204301075268819,0.12403100775193798
0.8099999999999996,0.17204301075268819,0.12403100775193798
0.8199999999999996,0.16129032258064516,0.12
0.8299999999999996,0.16129032258064516,0.12
0.8399999999999996,0.16129032258064516,0.12
0.8499999999999996,0.16129032258064516,0.125
0.8599999999999995,0.16129032258064516,0.125
0.8699999999999996,0.13978494623655913,0.11304347826086956
0.8799999999999996,0.13978494623655913,0.11304347826086956
0.8899999999999996,0.13978494623655913,0.11304347826086956
