iter	Logloss
0	0.6812967039
1	0.6689676023
2	0.6600463718
3	0.647849139
4	0.6372134639
5	0.626187792
6	0.6184686399
7	0.6110131133
8	0.6022426381
9	0.5929198546
10	0.5844428119
11	0.5746947644
12	0.565983417
13	0.5581941044
14	0.5502799165
15	0.5433050417
16	0.5361355426
17	0.5289643606
18	0.5211822659
19	0.5136607301
20	0.5067280414
21	0.5003436967
22	0.4963065503
23	0.4904877158
24	0.4838787154
25	0.478717056
26	0.4731582567
27	0.4686009276
28	0.4630594815
29	0.4588509354
30	0.4540271011
31	0.4487724678
32	0.4437137679
33	0.4389358221
34	0.4347433202
35	0.4305209366
36	0.4262873332
37	0.4229636847
38	0.4192324246
39	0.415169211
40	0.4110301897
41	0.4069532507
42	0.4021544363
43	0.3970842922
44	0.3931225047
45	0.3894261379
46	0.3856370215
47	0.3817103517
48	0.3781999326
49	0.3746166603
50	0.3715366289
51	0.3677439222
52	0.3644349341
53	0.3613199346
54	0.3580975252
55	0.3555836771
56	0.3522201613
57	0.3498665305
58	0.3470168768
59	0.3447207657
60	0.342169556
61	0.339153589
62	0.3365839042
63	0.3340104795
64	0.3310152316
65	0.3287231969
66	0.3269599466
67	0.3239090863
68	0.3216740477
69	0.3196535671
70	0.3177795784
71	0.3164163477
72	0.3138439702
73	0.3122466592
74	0.3102218778
75	0.3079697852
76	0.3060647366
77	0.3038207409
78	0.3018409879
79	0.3001116023
80	0.2977313621
81	0.2955633425
82	0.2942897198
83	0.2929718541
84	0.291029126
85	0.2894543479
86	0.2881086761
87	0.2866926754
88	0.2851466011
89	0.2837195677
90	0.2822342106
91	0.2806142919
92	0.27951996
93	0.2781105228
94	0.276449484
95	0.2746930964
96	0.2725976121
97	0.271304598
98	0.2695228913
99	0.2682677624
100	0.2666204864
101	0.2652474011
102	0.263850343
103	0.2623765235
104	0.2609939014
105	0.2596083248
106	0.2588553896
107	0.2576307035
108	0.256853141
109	0.2556893966
110	0.2542005801
111	0.2530514586
112	0.2513098249
113	0.2505556555
114	0.249588742
115	0.2482502881
116	0.2471817615
117	0.2456946092
118	0.244391217
119	0.2433129479
120	0.2422286015
121	0.2412520203
122	0.2403564827
123	0.2392875821
124	0.2382472169
125	0.2370802561
126	0.2362832088
127	0.2350553251
128	0.2341377782
129	0.2333179923
130	0.2325192433
131	0.2312290341
132	0.230001113
133	0.2288677926
134	0.2282018288
135	0.2270894892
136	0.226234623
137	0.2253215266
138	0.2238931282
139	0.2226712844
140	0.2216735915
141	0.2207900029
142	0.2197544061
143	0.2192394967
144	0.2186469471
145	0.2175667707
146	0.2167536044
147	0.2154709872
148	0.2145079818
149	0.2138984344
150	0.2132820055
151	0.2122706245
152	0.2113204844
153	0.2105614531
154	0.2099610684
155	0.2091824027
156	0.2081812316
157	0.2068143171
158	0.2061454175
159	0.2050737493
160	0.2044110018
161	0.2036638073
162	0.2029200161
163	0.2020684785
164	0.2015450422
165	0.2007949119
166	0.2000627144
167	0.1996776356
168	0.198936238
169	0.1984305849
170	0.1978424671
171	0.1971328212
172	0.1961590636
173	0.1955624188
174	0.1943950653
175	0.1936847462
176	0.1932600994
177	0.1925124748
178	0.1915946848
179	0.1907308429
180	0.1901757483
181	0.1892638674
182	0.1886069915
183	0.1879067888
184	0.187169636
185	0.1863479988
186	0.1854281145
187	0.184779616
188	0.183859582
189	0.1832494923
190	0.1821875853
191	0.1812722636
192	0.1807811774
193	0.1803279017
194	0.1798081118
195	0.1793416154
196	0.1788079505
197	0.1781193228
198	0.1776196536
